"recid","age","hsged","white","children","jtpa","married","male","treatment","delta","days"
301015,24,0,1,0,1,1,1,1,1,106
301016,19,0,1,1,1,0,0,1,1,7
301017,20,1,1,0,1,0,0,0,0,975
301020,36,1,1,1,1,0,0,0,1,254
301022,25,0,0,1,1,0,0,1,0,459
301025,37,0,0,0,0,0,1,1,0,582
301027,20,1,0,1,0,0,0,0,1,979
301028,68,0,1,0,0,0,0,1,0,1230
301030,29,1,0,0,0,0,1,1,1,172
301031,46,1,0,0,1,1,1,1,0,646
301033,18,0,1,1,1,0,0,1,1,190
301036,27,0,1,1,1,1,1,1,1,164
301037,22,1,0,1,1,0,0,1,1,38
301040,16,0,1,0,0,0,0,1,1,581
301041,18,1,1,0,0,0,0,0,1,47
301042,37,0,1,1,0,0,1,0,1,18
301044,32,0,1,1,0,1,1,0,1,166
301046,28,1,1,1,1,1,0,1,1,44
301047,48,0,1,1,1,1,1,1,1,11
301049,40,0,1,1,1,1,1,1,1,123
301052,25,1,1,1,1,0,0,1,1,2
301060,43,0,1,0,0,1,1,0,1,118
301061,19,0,1,1,1,0,1,1,1,77
301065,20,1,1,0,1,0,0,1,1,33
301066,43,1,1,1,0,1,1,0,1,2
301067,23,1,1,1,1,0,0,1,1,419
301069,21,0,0,1,1,0,0,1,1,418
301072,35,1,1,0,0,0,0,0,0,677
301073,34,0,0,0,0,0,1,1,1,180
301074,22,1,0,0,1,0,1,1,1,80
301075,19,0,0,0,1,0,0,0,1,31
301076,18,1,1,1,0,1,0,0,1,203
301078,28,1,1,0,0,0,1,0,0,576
301079,38,0,1,1,0,0,0,0,1,529
301081,34,0,1,0,0,0,1,0,1,28
301083,19,1,0,0,1,0,1,1,1,411
301084,29,0,0,1,1,0,0,0,1,36
301085,26,1,1,0,1,0,1,1,1,2
301086,32,1,1,1,1,1,1,1,1,226
301088,34,1,0,0,0,0,1,0,1,366
301090,30,0,1,1,1,1,0,1,1,350
301091,25,0,1,0,1,0,1,1,1,5
301092,26,1,0,0,1,0,0,1,1,59
301094,23,0,1,0,0,0,1,0,1,50
301095,36,0,1,1,1,1,1,1,1,196
301096,43,0,1,0,1,1,0,1,1,16
301097,20,1,0,0,0,0,1,0,1,10
301098,20,1,0,0,0,0,1,0,1,191
301101,19,1,0,0,0,0,1,1,1,184
301102,54,1,1,0,1,0,1,1,1,21
301103,25,0,0,0,0,0,1,0,1,616
301104,31,1,0,1,1,1,0,1,1,431
301105,24,1,1,0,1,0,1,1,1,22
301107,67,0,1,0,0,1,1,0,1,140
301108,20,1,0,0,0,0,1,1,1,412
301110,46,1,1,0,1,0,1,0,1,38
301114,31,1,1,1,1,1,0,1,1,151
301115,46,1,0,1,0,0,0,0,1,160
301116,17,0,1,1,1,1,0,1,1,21
301119,36,1,0,1,1,0,0,1,0,571
301122,18,1,1,0,0,0,0,1,1,442
301126,23,1,0,0,0,0,1,1,1,369
301131,23,1,1,1,0,0,0,1,0,674
301132,26,1,1,1,1,1,0,1,1,100
301133,17,0,1,0,0,0,1,0,1,242
301134,23,1,1,1,1,0,0,1,0,420
301135,19,1,0,1,0,1,0,0,1,26
301136,40,1,1,1,1,0,1,1,1,70
301138,24,1,0,1,1,0,0,1,1,26
301140,30,0,1,1,1,1,1,1,1,389
301142,18,0,0,0,0,0,0,1,0,783
301143,28,0,1,1,0,0,0,1,0,626
301144,18,1,0,0,0,1,0,0,1,475
301145,41,1,0,1,1,0,0,1,1,350
301147,49,1,0,1,1,1,1,0,1,178
301148,37,1,1,1,0,1,1,1,1,74
301149,32,0,0,1,1,0,0,1,1,466
301153,21,0,1,1,0,0,0,1,0,646
